,date,avgTemp
0,2022-01-01,11.6
1,2022-01-02,11.4
2,2022-01-03,1.4
3,2022-01-04,-2.7
4,2022-01-05,3.2
5,2022-01-06,4.9
6,2022-01-07,0.7
7,2022-01-08,-2.5
8,2022-01-09,1.4
9,2022-01-10,1.6
10,2022-01-11,-5.4
11,2022-01-12,-1.9
12,2022-01-13,4.0
13,2022-01-14,4.8
14,2022-01-15,-6.7
15,2022-01-16,-8.0
16,2022-01-17,3.9
17,2022-01-18,1.8
18,2022-01-19,3.2
19,2022-01-20,5.1
20,2022-01-21,-6.0
21,2022-01-22,-5.9
22,2022-01-23,-0.7
23,2022-01-24,-0.2
24,2022-01-25,3.6
25,2022-01-26,-2.3
26,2022-01-27,-4.2
27,2022-01-28,0.1
28,2022-01-29,-4.8
29,2022-01-30,-7.1
30,2022-01-31,-3.4
31,2022-02-01,-1.7
32,2022-02-02,2.3
33,2022-02-03,6.4
34,2022-02-04,5.8
35,2022-02-05,-2.8
36,2022-02-06,-4.8
37,2022-02-07,0.5
38,2022-02-08,4.1
39,2022-02-09,2.8
40,2022-02-10,6.3
41,2022-02-11,8.6
42,2022-02-12,11.8
43,2022-02-13,2.8
44,2022-02-14,-4.3
45,2022-02-15,-4.7
46,2022-02-16,1.6
47,2022-02-17,11.6
48,2022-02-18,9.9
49,2022-02-19,0.1
50,2022-02-20,-2.6
51,2022-02-21,4.1
52,2022-02-22,5.6
53,2022-02-23,14.4
54,2022-02-24,1.1
55,2022-02-25,0.8
56,2022-02-26,-1.1
57,2022-02-27,2.4
58,2022-02-28,0.8
59,2022-03-01,2.6
60,2022-03-02,7.7
61,2022-03-03,5.6
62,2022-03-04,-1.9
63,2022-03-05,3.1
64,2022-03-06,9.6
65,2022-03-07,18.2
66,2022-03-08,8.7
67,2022-03-09,3.2
68,2022-03-10,4.0
69,2022-03-11,7.2
70,2022-03-12,5.1
71,2022-03-13,-2.3
72,2022-03-14,5.3
73,2022-03-15,11.6
74,2022-03-16,13.6
75,2022-03-17,8.2
76,2022-03-18,13.9
77,2022-03-19,13.1
78,2022-03-20,14.3
79,2022-03-21,10.4
80,2022-03-22,10.7
81,2022-03-23,7.2
82,2022-03-24,5.7
83,2022-03-25,9.6
84,2022-03-26,10.4
85,2022-03-27,5.9
86,2022-03-28,-1.5
87,2022-03-29,-1.2
88,2022-03-30,2.6
89,2022-03-31,9.9
90,2022-04-01,13.1
91,2022-04-02,7.2
92,2022-04-03,7.0
93,2022-04-04,7.6
94,2022-04-05,9.7
95,2022-04-06,8.6
96,2022-04-07,9.1
97,2022-04-08,12.8
98,2022-04-09,11.4
99,2022-04-10,8.6
100,2022-04-11,8.8
101,2022-04-12,13.4
102,2022-04-13,15.4
103,2022-04-14,16.3
104,2022-04-15,15.7
105,2022-04-16,15.7
106,2022-04-17,8.3
107,2022-04-18,7.9
108,2022-04-19,7.6
109,2022-04-20,9.4
110,2022-04-21,10.6
111,2022-04-22,14.6
112,2022-04-23,13.3
113,2022-04-24,12.8
114,2022-04-25,10.4
115,2022-04-26,11.5
116,2022-04-27,11.6
117,2022-04-28,8.2
118,2022-04-29,10.4
119,2022-04-30,12.9
120,2022-05-01,13.6
121,2022-05-02,12.1
122,2022-05-03,12.4
123,2022-05-04,12.0
124,2022-05-05,17.2
125,2022-05-06,14.8
126,2022-05-07,10.0
127,2022-05-08,10.4
128,2022-05-09,13.5
129,2022-05-10,15.4
130,2022-05-11,16.1
131,2022-05-12,17.1
132,2022-05-13,16.0
133,2022-05-14,17.9
134,2022-05-15,18.8
135,2022-05-16,20.4
136,2022-05-17,19.7
137,2022-05-18,17.8
138,2022-05-19,15.5
139,2022-05-20,15.4
140,2022-05-21,21.2
141,2022-05-22,27.8
142,2022-05-23,21.0
143,2022-05-24,17.4
144,2022-05-25,16.2
145,2022-05-26,16.4
146,2022-05-27,20.2
147,2022-05-28,20.4
148,2022-05-29,20.7
149,2022-05-30,23.3
150,2022-05-31,28.3
151,2022-06-01,17.8
152,2022-06-02,20.3
153,2022-06-03,19.5
154,2022-06-04,21.9
155,2022-06-05,20.0
156,2022-06-06,22.2
157,2022-06-07,21.8
158,2022-06-08,23.7
159,2022-06-09,24.4
160,2022-06-10,21.8
161,2022-06-11,21.8
162,2022-06-12,20.5
163,2022-06-13,24.2
164,2022-06-14,23.9
165,2022-06-15,23.3
166,2022-06-16,20.3
167,2022-06-17,25.2
168,2022-06-18,21.7
169,2022-06-19,17.3
170,2022-06-20,20.5
171,2022-06-21,22.1
172,2022-06-22,19.1
173,2022-06-23,19.2
