,date,total_trips,avgTemp
0,2022-01-01,20198,11.6
1,2022-01-02,42203,11.4
2,2022-01-03,32453,1.4
3,2022-01-04,35869,-2.7
4,2022-01-05,33689,3.2
5,2022-01-06,44226,4.9
6,2022-01-07,17022,0.7
7,2022-01-08,23866,-2.5
8,2022-01-09,21104,1.4
9,2022-01-10,34172,1.6
10,2022-01-11,26418,-5.4
11,2022-01-12,40058,-1.9
12,2022-01-13,50364,4.0
13,2022-01-14,45403,4.8
14,2022-01-15,22626,-6.7
15,2022-01-16,20720,-8.0
16,2022-01-17,28990,3.9
17,2022-01-18,42800,1.8
18,2022-01-19,53858,3.2
19,2022-01-20,33772,5.1
20,2022-01-21,33490,-6.0
21,2022-01-22,31820,-5.9
22,2022-01-23,32879,-0.7
23,2022-01-24,41429,-0.2
24,2022-01-25,50622,3.6
25,2022-01-26,41908,-2.3
26,2022-01-27,43737,-4.2
27,2022-01-28,34785,0.1
28,2022-01-29,2809,-4.8
29,2022-01-30,9383,-7.1
30,2022-01-31,22243,-3.4
31,2022-02-01,29239,-1.7
32,2022-02-02,41776,2.3
33,2022-02-03,26490,6.4
34,2022-02-04,20236,5.8
35,2022-02-05,29578,-2.8
36,2022-02-06,28761,-4.8
37,2022-02-07,30675,0.5
38,2022-02-08,51811,4.1
39,2022-02-09,55885,2.8
40,2022-02-10,61783,6.3
41,2022-02-11,64453,8.6
42,2022-02-12,68357,11.8
43,2022-02-13,20331,2.8
44,2022-02-14,34119,-4.3
45,2022-02-15,40484,-4.7
46,2022-02-16,53655,1.6
47,2022-02-17,67364,11.6
48,2022-02-18,46997,9.9
49,2022-02-19,32400,0.1
50,2022-02-20,31023,-2.6
51,2022-02-21,52321,4.1
52,2022-02-22,36435,5.6
53,2022-02-23,66243,14.4
54,2022-02-24,44653,1.1
55,2022-02-25,30362,0.8
56,2022-02-26,41366,-1.1
57,2022-02-27,42746,2.4
58,2022-02-28,45574,0.8
59,2022-03-01,55990,2.6
60,2022-03-02,67072,7.7
61,2022-03-03,55364,5.6
62,2022-03-04,49674,-1.9
63,2022-03-05,51274,3.1
64,2022-03-06,54475,9.6
65,2022-03-07,67822,18.2
66,2022-03-08,62126,8.7
67,2022-03-09,28060,3.2
68,2022-03-10,66012,4.0
69,2022-03-11,69240,7.2
70,2022-03-12,19579,5.1
71,2022-03-13,30783,-2.3
72,2022-03-14,63153,5.3
73,2022-03-15,78886,11.6
74,2022-03-16,81385,13.6
75,2022-03-17,49970,8.2
76,2022-03-18,92687,13.9
77,2022-03-19,77738,13.1
78,2022-03-20,65325,14.3
79,2022-03-21,73147,10.4
80,2022-03-22,75173,10.7
81,2022-03-23,60816,7.2
82,2022-03-24,45771,5.7
